[2024-12-12 06:32:09] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/flash.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/flash.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/jello.css
[2024-12-12 06:32:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/workground5/wp-content/plugins/elementor/assets/lib/animations/styles/jello.min.css
